"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Rueben Randle","NYG",3.5,46.8,0.3,0,10," NYG",4.3,60.7,0.2,11.8,"NYG",4.64,62,0.3,10.64,"NYG",0,0,0,3.5,46.3,0.2,"0.0",9.6,"NYG","80",0,0,0,1.62,21.62,0.06,4.1
"Ryan Grant","WAS",1.7,20,0.1,0,4.33," WSH",3.6,46.4,0.2,8.5,"WAS",1.09,11,0,2.09,"WAS",0,0,0,1.5,17.8,0.1,"0.0",3.7,"WSH","93",0,0,0,1.38,16.22,0.05,3.26
"Sammy Watkins","BUF",3.2,38,0.2,0.1,7.96," BUF",3.4,47.1,0.3,9,"BUF",2.9,43,0.3,6.9,"BUF",0.2,0.9,0,3.8,52.5,0.3,"0.1",10.6,"BUF","24",0,0,0,4.07,61.07,0.31,12.04
"Stefon Diggs","MIN",1.2,18,0.1,0,3.64,NA,NA,NA,NA,NA,"MIN",1.44,19,0,3.44,"MIN",0,0,0,1.4,18,0.1,"0.0",3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Steve Johnson","SD",3.5,40.8,0.3,0,9.34," SD ",3.5,47.6,0.3,9.3,NA,NA,NA,NA,NA," SD",0,0,0,3.2,41.2,0.3,"0.0",9,"SD","45",0,0,0,2.63,35.33,0.33,8.12
"Steve Smith Sr.","BAL",3.2,53.2,0.2,0,9.72," BAL",5.2,71.5,0.3,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T.Y. Hilton","IND",5.5,83.9,0.4,0,16.29," IND",5.7,78.8,0.5,15.8,"IND",5.52,85,0.2,14.52,"IND",0.1,0.8,0,5.3,75,0.4,"0.0",15.2,"IND","20",0.02,0,0,4.76,67.21,0.24,13
"Taylor Gabriel","CLE",2.2,26.6,0.1,0,5.5," CLE",1.6,21.5,0.1,4.1,"CLE",2.27,31,0.02,5.27,"CLE",0.1,0.4,0,2.2,27.6,0.1,"0.0",5.7,"CLE","69",0.04,0.06,0,1.97,20.97,0.1,4.67
"Ted Ginn","CAR",3.8,44.7,0.4,0.1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAR",0,0,0,3.5,47,0.3,"0.1",9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Torrey Smith","SF",1.9,46.6,0.4,0,8.96," SF ",2.7,44.8,0.2,7.8,"SFO",3.39,50,0.46,8.39," SF",0,0,0,2.6,45.8,0.3,"0.0",9.1,"SF","40",0,0,0,2.61,43.38,0.37,9.17
"Travis Benjamin","CLE",2.5,52.2,0.4,0.2,9.77," CLE",4,61.3,0.3,11.7,"CLE",3.84,61,0.5,15.84,"CLE",0,0,0,3.6,58.3,0.3,"0.1",11.2,"CLE","32",0.02,-0.1,0,3.6,58.79,0.29,11.17
"Ty Montgomery","GB",3,39.8,0.4,0,9.33," GB ",3.1,39.9,0.3,7.9,"GB",1.8,17,0.27,3.8," GB",0.3,1.6,0,2.9,36.1,0.3,"0.0",8.4,"GB","67",0.06,1.01,0,1.81,21.79,0.12,4.79
"Tyler Lockett","SEA",2.1,28.8,0.2,0.1,6.02," SEA",2.4,33.5,0.1,6.5,"SEA",2.25,25,0,5.25,"SEA",0.2,1.8,0,2.1,28.1,0.1,"0.1",5.8,"SEA","79",0.09,0.55,0,1.6,21.12,0.07,4.19
"Willie Snead","NO",4.8,70.4,0.3,0.1,13.42," NO ",4.8,66.6,0.4,13.1,"NO",6,76,0.28,14," NO",0,0,0,4.7,64.5,0.3,"0.1",12.9,"NO","31",0,0,0,4.2,54.89,0.25,11.25
