"playerId","playername","position","team","vor","points","actualPoints","overallRank","positionRank","dropoff","auctionValue","upper","lower","risk","sleeper"
2543468,"Mike Evans","WR","TB",-24.7218,203.7702,"297.65",112,46,"3.7761",1,223.7668,179.0731,"4.5819","45"
2533034,"Lamar Miller","RB","MIA",-24.9762,180.9766,"291.95",113,36,"6.7265",1,237.6712,113.2484,"8.1394","6"
2504797,"Matt Bryant","K","ATL",-26.1706,115.0063,"121.75",114,5,"4.1563",1,118.9639,108.8543,"4.5596","null"
2530747,"Doug Baldwin","WR","SEA",-27.5728,200.9192,"213.9",115,47,"4.0127",1,229.5068,172.0139,"4.2645","53"
2495470,"Stevan Ridley","RB","NE",-27.6122,178.3406,"50.5",116,37,"11.9884",1,214.676,131.1548,"3.2437","49"
2503471,"Adam Vinatieri","K","IND",-29.2641,111.9127,"115.75",117,6,"2.2718",1,115.7284,104.0806,"4.378","null"
497282,"Riley Cooper","WR","PHI",-29.4229,199.0691,"156.55",118,48,"5.2498",1,214.04,172.9182,"4.8126","33"
2495139,"Charles Clay","TE","MIA",-30.0417,190.516,"166.75",119,12,"1.9135",1,210.6984,166.0949,"3.4095","40"
2506109,"Ben Roethlisberger","QB","PIT",-30.3765,343.7965,"404.55",120,16,"23.5982",1,376.9886,293.0585,"3.9301","21"
2507232,"Mason Crosby","K","GB",-31.3897,109.7872,"110.25",121,7,"1.8541",1,114.6309,105.6639,"4.4697","null"
2507374,"Steven Hauschka","K","SEA",-31.6822,109.4947,"105.25",122,8,"5.3595",1,117.186,99.7704,"3.7714","21"
2540158,"Zach Ertz","TE","PHI",-31.8213,188.7365,"178.3",123,13,"3.0797",1,218.0092,147.4219,"3.7795","32"
2506369,"Heath Miller","TE","PIT",-32.0891,188.4686,"195.15",124,14,"7.7969",1,199.9438,151.8916,"3.1339","46"
2535869,"Rod Streater","WR","OAK",-33.7481,194.7439,"27.6",125,49,"2.05",1,222.7616,157.2753,"3.541","86"
2506194,"Nick Novak","K","SD",-34.8053,106.3715,"86",126,9,"5.115",1,111.7931,99.7061,"4.4111","10"
2504595,"Steve Smith","WR","BAL",-35.5974,192.8946,"271.75",127,50,"1.4678",1,217.6488,171.4395,"4.782","34"
2495979,"DeAngelo Williams","RB","CAR",-35.7932,170.1596,"27.8",128,38,"13.7969",1,205.1074,121.2481,"2.7632","58"
2649,"Danny Amendola","WR","NE",-35.9988,192.4932,"93.7",129,51,"2.5646",1,225.8326,131.245,"4.2085","55"
2505299,"Antonio Gates","TE","SD",-37.7128,182.8449,"264.15",130,15,"11.7977",1,205.1734,161.9074,"3.3087","42"
2539336,"Tavon Austin","WR","STL",-38.1316,190.3604,"99.8",131,52,"2.9874",1,233.9502,117.2895,"4.7427","36"
2540151,"Justin Hunter","WR","TEN",-38.9951,189.4969,"120.7",132,53,"5.401",1,221.413,140.5617,"3.6897","73"
2539637,"Caleb Sturgis","K","MIA",-39.2779,101.899,"99.75",133,10,"1.3151",1,106.1467,98.316,"4.5978","8"
2532968,"Blair Walsh","K","MIN",-40.5628,100.6141,"92",134,11,"0.0762",1,106.251,95.3045,"3.9138","16"
2507401,"Dan Carpenter","K","BUF",-40.6231,100.5538,"119.25",135,12,"0.4044",1,107.638,91.4417,"3.6275","24"
2504257,"Sebastian Janikowski","K","OAK",-40.6548,100.5221,"77.75",136,13,"1.3304",1,109.617,84.9256,"3.2926","25"
2504162,"Shayne Graham","K","NO",-41.4003,99.7766,"77.25",137,14,"2.0333",1,104.7383,94.0341,"4.2247","13"
2495966,"Delanie Walker","TE","TEN",-42.0592,178.4986,"220.5",138,16,"17.1367",1,193.8857,132.2127,"2.9115","50"
2550380,"Cody Parkey","K","PHI",-42.57,98.6068,"121.5",139,15,"1.8982",1,103.4043,93.0545,"4.2344","12"
222,"Harry Douglas","WR","ATL",-43.243,185.249,"146.4",140,54,"2.4819",1,216.0096,122.4839,"3.5618","85"
284,"Darren McFadden","RB","OAK",-43.408,162.5448,"120.75",141,39,"12.6512",1,198.2194,105.7755,"5.1721","25"
71309,"Graham Gano","K","CAR",-44.2972,96.8797,"92",142,16,"0.882",1,102.5508,85.7714,"3.7628","22"
2506264,"Robbie Gould","K","CHI",-44.6393,96.5376,"39.75",143,17,"1.797",1,104.4924,74.6639,"3.6866","23"
2507183,"James Jones","WR","OAK",-45.5493,182.9427,"205.9",144,55,"0.3993",1,225.9529,86.2971,"6.8205","10"
2534797,"Greg Zuerlein","K","STL",-45.719,95.4578,"90",145,18,"1.6412",1,97.617,93.2843,"5.094","3"
2539291,"Markus Wheaton","WR","PIT",-45.9004,182.5916,"186.3",146,56,"0.159",1,209.6671,121.7294,"3.1711","101"
80672,"Hakeem Nicks","WR","IND",-45.9967,182.4953,"122.75",147,57,"1.3408",1,214.6971,131.3004,"3.0945","111"
2532799,"Jarrett Boykin","WR","GB",-46.1222,182.3698,"6.6",148,58,"3.9648",1,216.4977,129.8445,"3.237","100"
2506386,"Mike Nugent","K","CIN",-47.1537,94.0232,"86",149,19,"1.4666",1,98.9936,85.9505,"4.0433","14"
2550325,"Chandler Catanzaro","K","ARI",-47.5667,93.6102,"93.25",150,20,"2.1119",1,99.6647,88.1123,"3.8244","17"
71217,"Kenny Britt","WR","STL",-48.553,179.939,"178.2",151,59,"4.021",1,213.4596,138.0393,"3.4554","90"
2507225,"Nick Folk","K","NYJ",-49.6738,91.503,"97",152,21,"0.0342",1,97.9854,85.2369,"3.7742","20"
2506149,"Shaun Suisham","K","PIT",-49.6834,91.4935,"103.5",153,22,"0.2522",1,95.3404,85.3693,"4.3767","11"
2543533,"Patrick Murray","K","TB",-49.7327,91.4442,"86.25",154,23,"0.71",1,94.6284,88.5661,"4.7356","6"
2505459,"Josh Brown","K","NYG",-50.1384,91.0385,"98.5",155,24,"1.1281",1,94.7849,86.6293,"4.5477","9"
2550636,"Cairo Santos","K","KC",-50.747,90.4299,"84.75",156,25,"1.0963",1,95.5483,83.6925,"4.0185","15"
2540202,"Kenny Stills","WR","NO",-51.6209,176.8711,"220.65",157,60,"1.9655",1,192.709,150.8781,"5.1323","28"
89802,"Ryan Succop","K","TEN",-51.7861,89.3908,"69",158,26,"0.292",1,94.7462,79.6367,"3.7773","19"
2533444,"Randy Bullock","K","HOU",-51.9004,89.2765,"109.25",159,27,"2.6681",1,95.6727,82.3121,"3.7894","18"
2506063,"Josh Scobee","K","JAC",-52.2558,88.9211,"71.75",160,28,"5.2661",1,91.4225,84.3274,"4.7893","5"
2495718,"Sidney Rice","WR","FA",-53.527,174.965,"null",161,61,"1.0313",1,246.68,55.44,"25.7695","1"
2505785,"Malcom Floyd","WR","SD",-53.6458,174.8462,"216.4",162,62,"2.4576",1,210.9503,151.0712,"3.6204","78"
2506340,"Alex Smith","QB","KC",-53.8118,320.3612,"269.2",163,17,"5.8368",1,359.1142,265.6552,"3.6729","25"
2495143,"Andy Dalton","QB","CIN",-54.1375,320.0354,"240.5",164,18,"15.1904",1,348.6555,287.9994,"4.2383","15"
2508097,"Andrew Hawkins","WR","CLE",-55.4708,173.0212,"198.6",165,63,"1.8173",1,212.4316,42.2207,"7.5759","8"
2495466,"Mark Ingram","RB","NO",-55.7722,150.1806,"221.45",166,40,"1.1498",1,190.3112,99.4989,"4.8739","29"
497190,"Dexter McCluster","RB","TEN",-56.3462,149.6066,"70.85",167,41,"3.6168",1,169.2718,92.3733,"2.7214","62"
497190,"Dexter McCluster","RB","TEN",-56.3462,149.6066,"70.85",167,41,"3.6168",1,169.2718,92.3733,"2.7214","62"
2543475,"Marqise Lee","WR","JAC",-56.7361,171.7559,"106.3",168,64,"1.3929",1,184.0662,129.6939,"4.4185","51"
2495150,"Kai Forbath","K","WAS",-56.8811,84.2957,"76",169,29,"11.5969",1,87.6479,80.8565,"4.7967","4"
71265,"Jared Cook","TE","STL",-56.9618,163.5959,"164.35",170,17,"7.7389",1,180.8723,139.5428,"4.2406","23"
2533545,"Bernard Pierce","RB","BAL",-57.4979,148.4549,"53",171,42,"6.2591",1,192.9114,66.13,"5.817","19"
2539260,"Denard Robinson","WR","JAC",-57.8401,170.6519,"132.95",172,65,"0.9164",1,128.3604,1.6558,"10.2078","3"
2539260,"Denard Robinson","WR","JAC",-57.8401,170.6519,"132.95",172,65,"0.9164",1,128.3604,1.6558,"10.2078","3"
2506677,"Matt Prater","K","DET",-58.1625,83.0144,"72",173,30,"24.8009",1,86.0382,78.3887,"4.69","7"
2506313,"Nate Washington","WR","TEN",-58.4179,170.0741,"149.05",174,66,"1.5839",1,213.6127,129.1404,"3.7756","68"
