"playerId","playername","position","team","vor","points","actualPoints","overallECR","overallRank","positionRank","cost","dropoff","adp","adpdiff","auctionValue","upper","lower","risk","sleeper"
2534871,"Derrick Coleman","RB","SEA",-164.691,17.1975,"null","null",413,142,"null","0.295","129.5","-293.5",0.25,33.6044,-1.8,"1.7509","null"
2530763,"Patrick DiMarco","RB","ATL",-164.7319,17.1566,"null","null",414,143,"null","0.6206","null","null",0,29.6392,0,"5.5425","null"
2543570,"Storm Johnson","RB","JAC",-165.2402,16.6484,"null","null",415,144,"null","0.3615","65","-360",0.25,38.4325,0,"4.0423","null"
2552401,"MyCole Pruitt","TE","MIN",-165.3009,33.6665,"null","null",416,69,"null","1.5865","130.54","-295.46",0.5,52.4085,0.2684,"10.5007","null"
81306,"Brandon Tate","WR","CIN",-165.3281,64.7994,"null","null",417,127,"null","2.143","null","null",0.3333,91.8517,35.0415,"4.4051","13"
2540204,"Spencer Ware","RB","KC",-165.4648,16.4238,"null","null",418,145,"null","0.3154","null","null",0.3333,25.2656,0,"4.1342","null"
497174,"Jonathan Dwyer","RB","FA",-165.7386,16.15,"null","null",419,146,"null","0.3212","null","null",0.3333,11.6408,-13.25,"4.3495","null"
163982,"Will Johnson","RB","PIT",-165.8219,16.0666,"null","null",420,147,"null","0.5291","null","null",1,22.8805,0.4,"3.9909","null"
79589,"David Johnson","TE","SD",-166.1567,32.8107,"null","null",421,70,"null","1.5203","304","-127",0,60.3755,0.6,"6.906","null"
2550268,"Charcandrick West","RB","KC",-166.2976,15.5909,"null","342",422,148,"null","0.2576","174.2","-257.8",0.25,20.7761,-1.3288,"9.5093","null"
2550529,"Silas Redd","RB","WAS",-166.4045,15.484,"null","null",423,149,"null","0.9214","null","null",0.25,38.5807,0,"4.7858","null"
2539303,"Zach Line","RB","MIN",-166.706,15.1825,"null","null",424,150,"null","1.2887","null","null",0,23.7501,-0.8052,"2.4703","null"
2552470,"Sammie Coates","WR","PIT",-166.8365,63.291,"null","339",425,128,"null","1.2955","141.98","-293.02",0.75,122.1744,18.6432,"5.4421","23"
