"name","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts"
"James Starks"," GB ",16.4,74.3,0.3,2.1,16.5,0.1,12.6,"GB",15,65,1,3,20,0,17.5,"GBP",4.25,19,0.07,0.75,5,0.02,2.75
"Jeremy Hill"," CIN",16.3,69.5,0.5,1.3,9.6,0,10.2,"CIN",18,70,1,1,10,0,15,"CIN",12.58,55,0.56,1.68,12,0.04,14.68
"Jerick McKinnon"," MIN",3.9,18.7,0.1,1.4,10.6,0,4.1,"MIN",6,20,0,1,10,0,4,"MIN",7.22,35,0,1.76,9,0.01,5.76
"John Kuhn"," GB ",3.2,9.2,0.2,0.9,7.8,0.1,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joique Bell"," DET",8.3,30.2,0.3,1.2,9.3,0,5.9,"DET",9,30,0,1,10,0,5,"DET",11.71,44,0.31,2.42,24,0.03,9.42
"Jonathan Grimes"," HOU",5.4,21.9,0.1,2,16.7,0.1,6.2,"HOU",3,15,0,1,5,0,3,"HOU",2.83,12,0,0.62,5,0,2.62
"Jonathan Stewart"," CAR",18.3,86,0.4,2.1,14.8,0.1,13.9,"CAR",18,75,1,2,15,0,17,"CAR",15.84,68,0.21,1.98,12,0.06,9.98
"Joseph Randle"," DAL",17.4,75.1,0.5,1.2,9.8,0,11,"DAL",16,65,1,1,10,0,14.5,"DAL",6.23,27,0.19,0.81,8,0.02,4.81
"Josh Robinson"," IND",6.9,28.8,0.2,1.7,13.8,0.1,6.3,"IND",5,20,0,1,10,0,4,"IND",9.19,32,0.16,2.13,13,0,7.13
"Justin Forsett"," BAL",15.9,73.3,0.3,3.4,26.4,0.1,14.8,"BAL",18,70,0,3,20,0,12,"BAL",15.32,73,0.29,3.01,16,0.06,12.01
"Karlos Williams"," BUF",5.6,21.4,0.2,0.8,6.7,0,4,"BUF",5,25,0,1,5,0,4,"BUF",9.43,41,0.42,1.46,10,0,6.46
