"name","cbs_team","cbs_rushatt","cbs_rushyd","cbs_rushtd","cbs_recpts","cbs_recyd","cbs_rectd","cbs_fl","cbs_fpts","espn_team","espn_rushatt","espn_rushyd","espn_rushtd","espn_recpts","espn_recyd","espn_rectd","espn_fpts","fft_team","fft_rushatt","fft_rushyd","fft_rushtd","fft_recpts","fft_recyd","fft_rectd","fft_fpts","ffs_team","ffs_rushatt","ffs_rushyd","ffs_rushtd","ffs_recpts","ffs_recyd","ffs_rectd","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Darren McFadden","DAL",8.8,37,0.2,0.9,8.3,0,0.1,5.53," DAL",7.1,30.1,0.2,3,25.9,0.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,"DAL",7.72,29,0.19,1.27,11,0,5,"DAL",7.5,32.1,0.2,1.8,14.4,0,"0.1",5.5,"DAL","38",8.06,35.43,0.18,2.09,14.65,0.03,6.14
"Darren Sproles","PHI",4.6,20.6,0.3,3.1,32.1,0.1,0.1,7.47," PHI",5.5,26.2,0.2,2.8,22.7,0.1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",4.13,18,0.29,2.63,21,0,7,"PHI",5.3,25.3,0.2,3.3,29.8,0.3,"0.1",8.3,"PHI","26",6.62,37.68,0.29,3.03,27.29,0.03,8.41
"David Johnson","ARI",3.6,12.3,0.2,1.9,20.4,0.2,0.2,5.27," ARI",4,17.9,0.2,1.3,14.1,0.1,3.7,NA,NA,NA,NA,NA,NA,NA,NA,"ARI",2.81,15,0.17,1.54,22,0.31,6,"ARI",3.5,14.6,0.1,1.6,15,0.1,"0.1",4,"ARI","55",3.08,11.72,0.11,1.42,11.73,0.06,3.35
"DeAngelo Williams","PIT",4.2,23.5,0.1,0.4,2.7,0,0.2,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PIT",9.51,42,0.41,1.4,10,0,6,"PIT",4.5,19.6,0.1,0.5,3.4,0,"0.1",2.6,"PIT","43",8.53,31.54,0.22,1.79,11.19,0.02,5.54
"DeMarco Murray","PHI",14.3,61.6,0.7,2.8,22.7,0.1,0.2,12.83," PHI",14.9,70.6,0.7,2.5,19.2,0.1,12.6,NA,NA,NA,NA,NA,NA,NA,NA,"PHI",18.22,73,0.53,3.1,23,0.21,19,"PHI",12.9,55.9,0.4,2.3,18.9,0.1,"0.2",10.3,"PHI","16",11.74,53.15,0.32,2.61,21.4,0.05,9.53
"Devonta Freeman","ATL",12.2,49.1,1,3.4,39,0.1,0.1,15.21," ATL",17.5,70.3,0.7,4,37.5,0.1,15,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",11.37,45,0.95,3.15,33,0.03,17,"ATL",15.4,63.6,0.7,4,36.2,0.1,"0.1",14.7,"ATL","6",12.84,54.43,0.26,4.57,38.75,0.13,11.43
"Dexter McCluster","TEN",3.8,15.1,0.1,1.9,18.1,0,0.1,3.72," TEN",4.8,20,0.1,1.9,17.1,0.1,4.2,NA,NA,NA,NA,NA,NA,NA,NA,"TEN",3.04,14,0,1.69,15,0.04,5,"TEN",4.1,15.4,0.1,1.7,14.7,0,"0.1",3.6,"TEN","59",3.11,12.83,0.03,2,14.39,0.03,3.01
"Dion Lewis","NE",11.9,52.3,0.5,2.7,24.2,0.1,0.3,10.65," NE ",13.1,57.3,0.5,4.5,41.9,0.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,"NEP",7.84,35,0.4,3.06,32,0.03,10," NE",10.9,48,0.5,4,34.6,0.1,"0.2",11.6,"NE","12",7.61,37.22,0.21,4.13,36.07,0.24,9.95
"Doug Martin","TB",14.5,55.5,0.4,1.7,11,0,0.2,8.65," TB ",18,66.7,0.3,1.7,13.5,0,9.1,NA,NA,NA,NA,NA,NA,NA,NA,"TB",16.01,66,0.23,1.94,13,0,10," TB",16.2,62.4,0.5,1.8,13.5,0,"0.2",10.4,"TB","10",16.56,63.67,0.32,2.53,18.93,0.04,10.09
"Duke Johnson","CLE",9,34.9,0.2,2.8,24.3,0.1,0.1,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CLE",5.25,17,0,4.7,45,0.4,11,"CLE",8.3,30.6,0.1,2.6,21.1,0.1,"0.1",6.2,"CLE","49",4.95,16.58,0.14,2.02,15.71,0.02,4.12
