"name","cbs_team","cbs_recpts","cbs_yd","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts","fp_team","fp_rushatt","fp_rushyd","fp_rushtd","fp_recpts","fp_recyd","fp_rectd","fp_fl","fp_fpts","numfire_team","numfire_rank","numfire_rushatt","numfire_rushyd","numfire_rushtd","numfire_recpts","numfire_recyd","numfire_rectd","numfire_fpts"
"Cecil Shorts","HOU",3.3,36.9,0.1,0.1,7.36,NA,NA,NA,NA,NA,"HOU",4.26,47,0.27,9.26,"HOU",0,0,0,3.7,42.7,0.1,"0.1",8.6,"HOU","34",0,0,0,4.54,50.14,0.19,10.84
"Chris Givens","BAL",1.3,17.9,0.1,0,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BAL",0,0,0,1.1,16.5,0.1,"0.0",3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Hogan","BUF",2.2,27.7,0.3,0.2,6.34," BUF",2.4,32.1,0.2,6.8,"BUF",2.38,26,0.26,5.38,"BUF",0,0,0,1.3,17,0.1,"0.1",3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Matthews","SEA",1.7,24.5,0.2,0,5.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEA",0,0,0,1,13.9,0.1,"0.0",2.8,"SEA","97",0,0,0,1.1,14.98,0.04,2.84
"Cole Beasley","DAL",3.8,43.3,0.2,0.2,8.95," DAL",2.6,26.6,0.1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cordarrelle Patterson","MIN",1.8,16.1,0.1,0.1,3.8," MIN",1.8,23.9,0.1,4.6,"MIN",1.71,18,0.06,3.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Brown","CAR",1.9,27.5,0.2,0,5.85," CAR",2.2,31.8,0.2,6.2,"CAR",2.42,34,0.15,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Fuller","DET",2,19.7,0.1,0.2,4.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DET",0,0,0,0.9,14.3,0.1,"0.1",2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrius Heyward-Bey","PIT",1.8,22.9,0.2,0.1,5.08," PIT",2.4,35.9,0.2,6.9,"PIT",1.8,20,0.19,3.8,"PIT",0,0,0,1.2,14.4,0.1,"0.1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Anthony Thomas","KC",1.5,15.1,0.1,0,3.61," KC ",1.9,14.6,0.1,3.8,"KC",2.02,21,0.14,4.02," KC",1.6,7.9,0,1.8,17.1,0.1,"0.0",5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeAndre Hopkins","HOU",6.2,85.7,0.5,0.1,17.57," HOU",5.3,76.1,0.4,14.3,"HOU",7,97,0.42,17,"HOU",0,0,0,7.5,99.1,0.6,"0.1",20.8,"HOU","2",0,0,0,7.5,97.93,0.48,20.13
"Demaryius Thomas","DEN",7.3,94.8,0.7,0.1,20.78," DEN",7.1,90.7,0.6,19.6,"DEN",5.81,75,0.46,13.81,"DEN",0,0,0,6.6,85.5,0.6,"0.1",18.9,"DEN","1",0,0,0,7.07,94.09,0.6,20.16
"DeVante Parker","MIA",1.9,24.3,0.1,0,4.91," MIA",1.5,20,0.1,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIA","91",0,0,0,1.35,16.98,0.07,3.47
"Devin Funchess","CAR",2.7,36.8,0.2,0,7.61," CAR",2.3,30.8,0.2,6.6,"CAR",1.17,15,0.01,3.17,"CAR",0,0,0,1.6,18.6,0.1,"0.0",3.8,"CAR","94",0,0,0,1.21,15.69,0.05,3.08
"Devin Smith","NYJ",1.4,20.2,0.1,0,4.02," NYJ",2.1,28,0.2,5.1,NA,NA,NA,NA,NA,"NYJ",0,0,0,2.1,25.3,0.1,"0.0",5.4,"NYJ","80",0,0,0,1.56,18.43,0.11,4.04
"Devin Street","DAL",2.1,29.6,0.2,0,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donte Moncrief","IND",3.3,39.2,0.5,0,10.22," IND",4.3,50.2,0.3,11.4,"IND",3.68,42,0.32,7.68,"IND",0.1,0.9,0,4.1,54.5,0.3,"0.0",11.6,"IND","35",0.06,0.3,0,3.69,52.04,0.29,10.62
"Doug Baldwin","SEA",4.2,55.4,0.4,0.1,11.97," SEA",3.9,52.5,0.3,10.6,"SEA",4.17,55,0.32,10.17,"SEA",0,0.3,0,3.7,47,0.2,"0.0",9.7,"SEA","48",0.02,0.11,0,3.26,37.74,0.13,7.77
