"name","cbs_team","cbs_recpts","cbs_yd","cbs_avg","cbs_td","cbs_fl","cbs_fpts","espn_team","espn_recpts","espn_yd","espn_td","espn_fpts","fftoday_team","fft_recpts","fft_yd","fft_td","fft_fpts","ffs_team","ffs_recpts","ffs_yd","ffs_td","ffs_fpts"
"Geremy Davis","NYG",0.1,0.7,13.5,0,0,0.123," NYG",1.3,16.6,0.1,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Tate","DET",5.1,61,12,0.3,0,13," DET",4.3,52.6,0.2,10.9,NA,NA,NA,NA,NA,"DET",4.55,58,0.16,10.55
"Greg Jennings","MIA",1.5,15.8,10.7,0.2,0,4.26," MIA",2.1,29.8,0.1,5,NA,NA,NA,NA,NA,"MIA",2.34,29,0.19,5.34
"Greg Little","CIN",0.1,0.8,11.2,0,0,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIN",0,0,0,0
"Griff Whalen","IND",0.1,0.8,10.6,0,0,0.151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IND",1.16,14,0.05,2.16
"Harry Douglas","TEN",1.8,23.7,13.2,0.1,0,4.77," TEN",3.3,41.2,0.3,9,NA,NA,NA,NA,NA,"TEN",2.92,33,0.2,5.92
"Jaelen Strong","HOU",2.2,30.5,13.7,0.2,0.1,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HOU",0,0,0,0
"James Jones","GB",2.9,40.2,14.1,0.7,0,11.08," GB ",3.4,51,0.4,10.9,NA,NA,NA,NA,NA,"GBP",3.7,40,0.84,13.7
"Jamison Crowder","WAS",2.8,39.5,14,0.2,0,7.97," WSH",1,10.5,0,2.4,NA,NA,NA,NA,NA,"WAS",0.89,8,0,1.89
"Jarius Wright","MIN",2.6,39.9,15.5,0.2,0,7.76," MIN",2.3,30.6,0.2,6.4,NA,NA,NA,NA,NA,"MIN",2.01,31,0.15,5.01
"Jaron Brown","ARI",1.4,22.7,15.8,0.2,0,4.91," ARI",1.6,20.8,0.2,4.6,NA,NA,NA,NA,NA,"ARI",0.97,10,0.17,1.97
"Jarvis Landry","MIA",5.4,49.6,9.2,0.3,0.2,11.76," MIA",6.2,65.1,0.3,14.3,NA,NA,NA,NA,NA,"MIA",5.95,60,0.32,11.95
"Jason Avant","KC",2,18.7,9.5,0.1,0,4.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KCC",1.28,13,0,2.28
"Jeff Janis","GB",0,0.6,14.9,0,0,0.099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GBP",0,0,0,0
"Jeremy Kerley","NYJ",1.2,15.7,13.2,0.1,0,3.36," NYJ",2.3,28.6,0.2,5.4,NA,NA,NA,NA,NA,"NYJ",2.51,32,0.08,5.51
"Jeremy Maclin","KC",4.4,58.5,13.3,0.4,0,12.65," KC ",5.3,69.2,0.3,13.4,NA,NA,NA,NA,NA,"KCC",4.29,60,0.21,10.29
"Jermaine Kearse","SEA",2.6,51.6,19.9,0.2,0,8.95," SEA",2.7,40,0.3,7.7,NA,NA,NA,NA,NA,"SEA",3.47,49,0.21,8.47
"John Brown","ARI",3.7,56.3,15.2,0.3,0,11.13," ARI",4.2,59.4,0.4,11.8,NA,NA,NA,NA,NA,"ARI",3.89,51,0.35,8.89
"Jordan Matthews","PHI",5.4,75.2,13.9,0.4,0,15.32," PHI",5.4,59.3,0.4,12.5,NA,NA,NA,NA,NA,"PHI",4.5,45,0.67,15.5
"Jordan Norwood","DEN",1.8,20.4,11.5,0.1,0,4.42," DEN",2.8,34.6,0.2,7.2,NA,NA,NA,NA,NA,"DEN",1.31,10,0,2.31
"Josh Bellamy","CHI",2.7,24.5,9.2,0.5,0,8.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHI",0.15,3,0.03,0.15
"Josh Huff","PHI",1.4,20.8,14.5,0.1,0.2,3.71," PHI",1.2,11.9,0.1,2.7,NA,NA,NA,NA,NA,"PHI",0,0,0,0
"Julian Edelman","NE",7,73.2,10.5,0.6,0,17.92," NE ",6.7,69.6,0.5,15.6,NA,NA,NA,NA,NA,"NEP",7.39,76,0.43,15.39
"Julio Jones","ATL",9.6,121,12.6,0.6,0.1,25.1," ATL",7.5,99.2,0.5,19.4,NA,NA,NA,NA,NA,"ATL",7.24,101,0.42,17.24
"Justin Hardy","ATL",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ATL",0,0,0,0
"Justin Hunter","TEN",1.2,22.3,19.1,0.1,0,4," TEN",1.7,25.1,0.2,4.8,NA,NA,NA,NA,NA,"TEN",1.55,25,0.12,4.55
"Kamar Aiken","BAL",1.7,22.4,13,0.2,0.1,4.96," BAL",2.9,38.8,0.3,7.4,NA,NA,NA,NA,NA,"BAL",3.1,40,0.22,7.1
